"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region X,Bukidnon,Pangantucan,126678,BALMAR ELEMENTARY SCHOOL,Sitio Balmar Nabaliwa,BUKIDNON,PANGANTUCAN,4th District,NABALIWA,Public,DepED Managed,School with no Annexes,Purely ES,7,5,2,4,8,10,3,6,6,5,9,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126681,BARANDIAS ELEMENTARY SCHOOL,Barandias,BUKIDNON,PANGANTUCAN,4th District,BARANDIAS,Public,DepED Managed,School with no Annexes,Purely ES,36,41,32,35,38,32,24,39,47,22,35,30,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126682,Concepcion ES,Concepcion,BUKIDNON,PANGANTUCAN,4th District,CONCEPCION,Public,DepED Managed,School with no Annexes,Purely ES,13,11,11,9,12,4,13,11,7,9,12,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126683,JARQUE  ES,Jarque Adtuyon,BUKIDNON,PANGANTUCAN,4th District,ADTUYON,Public,DepED Managed,School with no Annexes,Purely ES,10,8,13,14,13,10,11,17,13,10,10,12,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126684,Kidanggin ES,Kidanggin Gandingan,BUKIDNON,PANGANTUCAN,4th District,GANDINGAN,Public,DepED Managed,School with no Annexes,Purely ES,5,4,7,2,8,5,8,3,3,3,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126688,Lantay  Elementary School,"3 Lantay, Pangantucan, Bukidnon",BUKIDNON,PANGANTUCAN,4th District,LANTAY,Public,DepED Managed,School with no Annexes,Purely ES,34,22,35,27,34,32,25,30,33,29,35,34,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126689,MADAYA ELEMENTARY SCHOOL,Madaya Pangantucan Bukidnon,BUKIDNON,PANGANTUCAN,4th District,MADAYA,Public,DepED Managed,School with no Annexes,Purely ES,17,13,31,18,24,15,22,12,18,20,19,26,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126691,Mendiz Elementary School,MENDIZ ELEMENTARY SCHOOL,BUKIDNON,PANGANTUCAN,4th District,MENDIS,Public,DepED Managed,School with no Annexes,Purely ES,25,20,31,17,15,25,22,20,19,21,11,21,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126692,Nabaliwa Elementary School,"Nabaliwa, Pangantucan Nabaliwa",BUKIDNON,PANGANTUCAN,4th District,NABALIWA,Public,DepED Managed,School with no Annexes,Purely ES,19,13,21,21,14,9,18,15,12,13,14,21,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126694,NEW EDEN ELEMENTARY SCHOOL,New Eden,BUKIDNON,PANGANTUCAN,4th District,NEW EDEN,Public,DepED Managed,School with no Annexes,Purely ES,13,12,14,9,10,11,12,7,8,8,14,10,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126695,PANGANTUCAN CENTRAL ELEMENTARY SCHOOL,"Everlasting Village, Poblacion, Pangantucan, Bukidnon",BUKIDNON,PANGANTUCAN,4th District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,148,145,185,158,167,152,188,164,169,148,178,175,135,168,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126697,Pigtauranan Elementary School,"PIGTAURANAN,PANGANTUCAN,BUKIDNON",BUKIDNON,PANGANTUCAN,4th District,PIGTAURANAN,Public,DepED Managed,School with no Annexes,Purely ES,37,38,39,32,22,28,36,33,27,23,27,33,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126698,Portulin Elementary School,"Portulin, Pangantucan, Bukidnon Portulin",BUKIDNON,PANGANTUCAN,4th District,PORTULIN,Public,DepED Managed,School with no Annexes,Purely ES,18,8,11,5,9,12,5,16,12,11,10,12,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126699,Quarry Elementary School,"Quarry,Bacusanon,Pangantucan",BUKIDNON,PANGANTUCAN,4th District,BACUSANON,Public,DepED Managed,School with no Annexes,Purely ES,7,15,21,14,10,13,8,8,15,9,10,19,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126700,San Guinto Elementary School,San Guinto Bacusanon,BUKIDNON,PANGANTUCAN,4th District,BACUSANON,Public,DepED Managed,School with no Annexes,Purely ES,18,11,22,11,16,15,13,11,10,12,12,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126701,San Isidro Elementary School,"Sitio San Isidro,Adtuyon,  Pang. San Isidro",BUKIDNON,PANGANTUCAN,4th District,ADTUYON,Public,DepED Managed,School with no Annexes,Purely ES,14,11,16,15,12,9,9,13,11,8,12,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126702,San Miguel ES,New Gandingan,BUKIDNON,PANGANTUCAN,4th District,GANDINGAN,Public,DepED Managed,School with no Annexes,Purely ES,10,10,12,9,20,10,17,19,8,10,9,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126703,San Vicente Elementary School,"San Vicente, Gandingan",BUKIDNON,PANGANTUCAN,4th District,GANDINGAN,Public,DepED Managed,School with no Annexes,Purely ES,6,6,17,3,6,6,4,5,5,5,4,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,126704,Sinasaan ES,Sinasaan Portulin,BUKIDNON,PANGANTUCAN,4th District,PORTULIN,Public,DepED Managed,School with no Annexes,Purely ES,10,7,16,9,17,7,7,9,11,7,13,11,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,303945,Bacusanon National High School,"Purok 1, Bacusanon, Pangantucan, Buk",BUKIDNON,PANGANTUCAN,1st District,BACUSANON,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,138,119,123,103,103,94,116,0,0,3,9,25,49,0,0,26,17,0,0,24,9,0,0,0,0,7,22,39,49,0,0,0,0,0,0,24,15,0,0,0,0
Region X,Bukidnon,Pangantucan,303978,Pangantucan NHS,Decolores Village Poblacion,BUKIDNON,PANGANTUCAN,1st District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,215,188,225,184,225,182,202,1,0,13,27,101,162,17,32,0,0,0,0,99,21,0,0,0,0,9,29,108,170,11,27,0,0,0,0,82,34,0,0,0,0
Region X,Bukidnon,Pangantucan,405026,Pangantucan Community High School,"Kinilayan Village, Poblacion",BUKIDNON,PANGANTUCAN,4th District,POBLACION,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,91,65,84,98,95,92,99,0,0,7,11,51,45,26,32,0,0,0,0,10,2,0,0,0,0,8,14,44,37,20,30,0,0,0,0,14,7,0,0,0,0
Region X,Bukidnon,Pangantucan,405027,San Isidro High School (Malipayon),Purok 1 Malipayon,BUKIDNON,PANGANTUCAN,4th District,,Private,Sectarian ,School with no Annexes,All Offering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,10,19,14,19,27,19,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0
Region X,Bukidnon,Pangantucan,459604,"San Isidro Parish Learning Center of Pangantucan, Inc.",Everlasting Village,BUKIDNON,PANGANTUCAN,4th District,POBLACION,Private,Non-Sectarian ,Mother school,Purely ES,11,6,14,12,8,12,7,6,3,6,16,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126705,Apyao ES,P-9 Quemtras Butong,BUKIDNON,QUEZON,3rd District,BUTONG,Public,DepED Managed,School with no Annexes,Purely ES,76,90,111,83,78,67,77,68,71,51,66,74,64,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126706,Busco CES,Busco Butong,BUKIDNON,QUEZON,3rd District,BUTONG,Public,DepED Managed,School with no Annexes,Purely ES,77,66,71,88,62,68,68,51,80,83,65,88,71,80,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126707,Butong ES,Balangay 18                                butong,BUKIDNON,QUEZON,3rd District,BUTONG,Public,DepED Managed,School with no Annexes,Purely ES,29,38,51,43,38,38,31,33,45,35,45,38,32,37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126708,Dumalama ES,Dumalama,BUKIDNON,QUEZON,3rd District,DUMALAMA,Public,DepED Managed,School with no Annexes,Purely ES,19,14,13,19,11,19,17,16,10,12,13,12,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126709,Kibacania Elementary School,"San Isidro, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely ES,6,8,8,2,5,7,14,6,10,10,10,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126710,Kipaypayon ES,"Purok 1-B,  Kipaypayon",BUKIDNON,QUEZON,3rd District,KIPAYPAYON,Public,DepED Managed,School with no Annexes,Purely ES,16,20,20,17,24,18,9,11,22,18,11,15,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126711,Libertad ES,Purok 1 Libertad,BUKIDNON,QUEZON,3rd District,LIBERTAD,Public,DepED Managed,School with no Annexes,Purely ES,41,34,37,43,46,44,33,41,44,39,41,49,48,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126712,Lumintao ES,Purok 3 Lumintao,BUKIDNON,QUEZON,3rd District,LUMINTAO,Public,DepED Managed,School with no Annexes,Purely ES,35,35,50,36,44,42,37,39,41,38,52,33,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126713,Mahayag Elementary School,Balangay 3-B,BUKIDNON,QUEZON,3rd District,MAHAYAG,Public,DepED Managed,School with no Annexes,Purely ES,20,25,26,22,31,25,28,14,21,19,22,29,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126716,Miluya ES,"Miluya, Manuto, Quezon, Bukidnon Manuto",BUKIDNON,QUEZON,3rd District,MANUTO,Public,DepED Managed,School with no Annexes,Purely ES,3,5,4,3,9,3,6,7,12,4,3,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126719,Quezon CES,"Balangay 2, Poblacion (Kiokong)",BUKIDNON,QUEZON,3rd District,POBLACION (KIOKONG),Public,DepED Managed,School with no Annexes,Purely ES,142,161,159,150,144,160,153,153,174,176,180,159,160,171,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,126723,Zubiri Village ES,"Buayan, San Jose",BUKIDNON,QUEZON,3rd District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely ES,23,21,27,25,44,27,23,30,30,33,25,24,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,199541,Don Antonio O. Floirendo Sr. Elementary School,"Blngy 10, Merangeran",BUKIDNON,QUEZON,3rd District,MERANGERANG,Public,DepED Managed,School with no Annexes,Purely ES,17,10,7,13,13,7,7,13,10,12,11,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,314912,Quezon National High School,Mibando,BUKIDNON,QUEZON,3rd District,MIBANTANG,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,162,213,236,274,263,244,262,0,0,22,65,97,131,49,72,0,0,0,0,176,86,28,13,13,11,30,69,93,101,46,86,0,0,0,0,182,131,29,11,22,23
Region X,Bukidnon,Quezon I,314930,Apyao National High School,Quemtras Butong,BUKIDNON,QUEZON,3rd District,BUTONG,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,80,69,100,96,122,54,68,0,0,0,0,0,0,0,0,4,22,0,0,49,42,0,0,0,0,0,0,0,0,0,0,15,23,0,0,26,30,0,0,0,0
Region X,Bukidnon,Quezon I,405029,Busco-Nasurefco Baptist Christian Academy,"Busco, Butong, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,BUTONG,Private,Sectarian ,School with no Annexes,Purely ES,8,12,9,9,4,11,5,4,5,7,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,405030,Kolampion Adventist Elementary School,Purok 5 Paitan,BUKIDNON,QUEZON,3rd District,PAITAN,Private,Sectarian ,School with no Annexes,Purely ES,8,7,14,9,10,6,7,4,2,8,5,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,405032,"Nuestra Senora Del Pilar High School, Inc.",Poblacion,BUKIDNON,QUEZON,3rd District,POBLACION (KIOKONG),Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,29,18,25,21,26,24,37,0,0,0,0,11,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,11,6,8,18,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,405034,"Puntian Technical Institute, Inc.","Purok 5, Puntian, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,PUNTIAN,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,11,16,15,21,14,11,0,0,2,3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,405035,Quezon Baptist Christian School,BLG 5 POBLACION,BUKIDNON,QUEZON,3rd District,POBLACION (KIOKONG),Private,Sectarian ,School with no Annexes,Purely ES,26,28,26,19,28,23,20,14,16,9,17,12,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,405036,Quezon Institute of Technology,Balangay 6,BUKIDNON,QUEZON,3rd District,POBLACION (KIOKONG),Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,107,61,61,69,55,67,76,0,0,0,8,14,32,0,0,0,4,0,0,36,16,0,0,0,0,8,16,13,37,0,0,1,6,0,0,36,2,0,0,0,0
Region X,Bukidnon,Quezon I,405037,Quezon Bukidnon Adventist Elementary School,B-6 Poblacion,BUKIDNON,QUEZON,3rd District,POBLACION (KIOKONG),Private,Sectarian ,School with no Annexes,Purely ES,15,13,16,13,27,8,17,15,18,14,19,14,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,459528,Sulads Comprehensive High School For the Lumads,Sito Sto. Domingo Lumintao,BUKIDNON,QUEZON,3rd District,LUMINTAO,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,11,19,10,8,16,7,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,500680,San Jose Integrated School,"SAN JOSE, QUEZON, BUKIDNON San Jose",BUKIDNON,QUEZON,3rd District,SAN JOSE,Public,DepED Managed,School with no Annexes,All Offering,62,55,45,58,59,53,62,55,70,47,61,57,60,55,0,0,78,75,64,60,66,52,39,38,0,0,0,0,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,501648,Salaysay Integrated School,Purok 2 Magsaysay,BUKIDNON,QUEZON,3rd District,MAGSAYSAY,Public,DepED Managed,School with no Annexes,ES and JHS,41,33,43,32,29,30,22,24,32,29,35,36,37,28,0,0,20,18,24,22,19,23,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,501674,Paitan Integrated School,Purok 1A Paitan,BUKIDNON,QUEZON,3rd District,PAITAN,Public,DepED Managed,School with no Annexes,ES and JHS,27,31,35,30,38,28,33,25,37,19,36,35,27,33,0,0,34,28,29,31,30,34,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,502166,Merangeran Integrated School,Purok 1 Merangeran,BUKIDNON,QUEZON,3rd District,MERANGERANG,Public,DepED Managed,School with no Annexes,ES and JHS,20,27,25,32,38,27,40,30,48,29,28,24,21,33,5,3,30,27,36,27,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,502256,Manuto Integrated School,Purok 1 Manuto,BUKIDNON,QUEZON,3rd District,MANUTO,Public,DepED Managed,School with no Annexes,ES and JHS,21,27,13,13,24,22,24,15,26,20,22,21,17,17,0,0,24,9,15,22,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,502540,Sto. Domingo Integrated School,Sto. Domingo Lumintao,BUKIDNON,QUEZON,3rd District,LUMINTAO,Public,DepED Managed,School with no Annexes,ES and JHS,16,11,9,23,21,16,15,17,20,16,13,17,14,18,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon I,502604,Minsalirac Integrated School,"Minsalirac, Quezon Bukidnon Minsalirac",BUKIDNON,QUEZON,3rd District,MINSALIRAK,Public,DepED Managed,School with no Annexes,ES and JHS,17,19,18,21,21,23,18,15,25,18,19,24,25,26,0,0,34,14,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon II,126555,Panuluan Te Sitio Nursery,"Purok 7, Linabo, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,LINABO,Public,DepED Managed,School with no Annexes,Purely ES,12,10,11,9,10,9,9,10,9,6,6,9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon II,126724,Bagong Lipunan ES,"P6 Bagong Lipunan,  Linabo",BUKIDNON,QUEZON,3rd District,LINABO,Public,DepED Managed,School with no Annexes,Purely ES,6,3,6,9,6,7,6,3,4,4,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon II,126725,Cawayan ES,"Cawayan, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,LINABO,Public,DepED Managed,School with no Annexes,Purely ES,5,11,14,10,8,11,6,12,10,10,11,18,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon II,126726,Cebole ES,"Purok 3 Cebole,Quezon.Buk.",BUKIDNON,QUEZON,3rd District,CEBOLE,Public,DepED Managed,School with no Annexes,Purely ES,10,16,15,13,14,24,9,18,16,8,14,21,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region X,Bukidnon,Quezon II,126728,Kiburiao CS,"PUROK 1 Kiburiao, Quezon, Bukidnon",BUKIDNON,QUEZON,3rd District,KIBURIAO,Public,DepED Managed,School with no Annexes,Purely ES,64,58,59,51,49,58,70,51,64,42,72,71,60,75,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
